"","PitchNo","PAofGame","PAofInning","PitchofPA","Pitcher","PitcherThrows","BatterId","BatterSide","PitcherSet","Inning","InningTop","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","HitType","PlayResult","OutsOnPlay","RunsScored","Notes","Release.Speed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","PitchCount","K","BB","Hit","OutYorN"
"1",1,1,1,1,"Pitcher X","Right",594824,"Left","Windup",1,1,0,0,0,"Fastball","Sinker","StrikeCalled","","","",0,0,NA,86.73302683,-0.926782094,-2.270110521,2085.02537,223.3944812,"0.0625",5.983798328,1.664359253,5.518684978,-21.2615808,16.33103608,15.4739318,3.344828398,0.830497315,79.15817676,-4.893035863,0.623574935,0.441288691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.875468618,8.954134413,-1.477177281,50,5.889082481,4.47668932,-126.0734779,-2.757033739,-14.26970212,25.88615593,-17.77787002,1,0,0,0,0
"2",2,1,1,2,"Pitcher X","Right",594824,"Left","Windup",1,1,0,0,1,"Fastball","Fastball","BallCalled","","","",0,0,NA,88.61427783,-0.293184634,-1.785439097,2121.04133,218.4387193,"0.052083333",5.976070234,1.48304752,5.318837717,-21.64635099,14.35664453,11.42160851,3.896961178,0.758935042,81.42522684,-4.304519038,0.334788322,0.431857868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.48569342,7.648681397,-1.32974712,50,5.934048703,3.60944499,-128.8999889,-1.434314414,-10.98776783,25.05002441,-19.21599921,2,0,0,0,0
"3",3,1,1,3,"Pitcher X","Right",594824,"Left","Windup",1,1,0,1,1,"Fastball","Sinker","FoulBall","","","",0,0,NA,87.01653008,-1.503534499,-3.242473752,2128.03962,240.9693111,"0.083333333",5.850840718,1.777203056,5.614643561,-25.85655823,11.67594755,21.10096754,2.290472618,0.506540508,78.99690715,-6.34299407,0.722813472,0.440935736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.27279904,6.703399281,-1.513897445,50,5.705994728,6.459073778,-126.307768,-4.174139544,-19.66005491,27.74183192,-21.43573226,3,0,0,0,0
"4",4,1,1,4,"Pitcher X","Right",594824,"Left","Windup",1,1,0,1,2,"Sinker","Sinker","BallCalled","","","",0,0,NA,85.90043638,0.805076377,-4.420114438,2106.260295,257.0004888,"0.104166667",5.690856804,1.641256114,5.605724325,-33.27156803,5.421440417,23.64133797,3.671931363,-0.522328149,77.59597187,-5.439991049,0.021972696,0.447700694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.02179161,2.652494716,-1.278049521,50,5.738646812,8.856450774,-124.5247398,0.672555542,-21.78288308,27.48567986,-28.05339238,4,0,0,0,0
"5",5,1,1,5,"Pitcher X","Right",594824,"Left","Windup",1,1,0,2,2,"Fastball","Sinker","StrikeCalled","Strikeout","","",0,0,NA,86.38262956,-0.525793497,-4.659929567,2111.985311,243.0267361,"0.083333333",5.814047469,1.643301398,5.703061834,-26.81605476,11.31630179,22.30558331,3.087884315,-0.848903557,78.05456497,-5.566699618,-0.463883626,0.444445324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.42007445,6.240551073,-1.266060151,50,5.753429064,9.488288359,-125.2119044,-2.015898321,-21.08231,27.75147916,-22.37043436,5,1,0,0,1
"6",6,2,2,1,"Pitcher X","Right",649557,"Right","Windup",1,1,1,0,0,"Sinker","Sinker","InPlay","","FlyBall","Out",1,0,NA,85.66293119,-0.309301286,-4.547937322,2090.986234,254.6947048,"0.104166667",5.61181735,1.786941151,5.645404057,-32.16253058,6.503821332,23.89818045,2.642221858,-0.472120034,77.90087288,-6.327582935,-0.067180786,0.447546451,87.20170229,51.02820056,5.538522943,5331.17164,108.2655658,118.2212979,19.45601011,243.5603265,84.28235608,13.08934743,5.727694702,-14.12840914,3.572412684,-1.415913908,50,5.565270688,9.107564119,-124.2257435,-1.714127215,-21.96199796,26.1046712,-26.6208883,6,0,0,0,1
"7",7,3,3,1,"Pitcher X","Right",407812,"Right","Windup",1,1,2,0,0,"Fastball","Fastball","FoulBall","","","",0,0,NA,88.97286748,-0.762335211,-3.445335955,2269.218504,229.3444222,"0.072916667",5.795829571,1.465250267,5.279891147,-24.42850725,12.02582409,14.04316765,3.042924992,-0.603671487,80.38272155,-5.321357006,-0.820281629,0.434556336,69.51382497,24.96479611,159.1521197,4057.469053,-105.8864858,23.34824016,29.79969635,170.955844,46.76724358,167.3205305,2.277168579,-8.500279532,6.600328188,-1.161068961,50,5.708786469,7.270737364,-129.0537544,-2.588240866,-14.17757262,29.62015403,-21.16539503,7,0,0,0,0
"8",8,3,3,2,"Pitcher X","Right",407812,"Right","Windup",1,1,2,0,1,"Sinker","Sinker","StrikeCalled","","","",0,0,NA,87.49377564,0.639679045,-4.286203721,2065.6376,260.4156318,"0.114583333",5.643561267,1.86277232,5.296771917,-34.01386575,3.899670306,23.30566098,3.411272265,-0.22623135,78.64822212,-5.725093298,0.081164091,0.443168276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.74784867,1.859306129,-1.489367458,50,5.677723617,8.691172931,-126.7422125,0.239891472,-22.00690846,29.74509582,-29.1977589,8,0,0,0,0
"9",9,3,3,3,"Pitcher X","Right",407812,"Right","Windup",1,1,2,0,2,"Fastball","Fastball","StrikeSwinging","Strikeout","","",0,0,NA,91.3780633,-0.657456661,-3.267552363,2298.040828,214.8484032,"0.052083333",6.042101413,1.177773779,5.505190225,-18.21722788,15.84446865,11.05435388,3.908183386,-0.959834302,82.93324568,-4.064943741,-1.199213907,0.420053547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.844944836,8.631618022,-0.899997347,50,5.972614013,7.183512232,-132.6798355,-2.169988239,-12.13953079,29.73812065,-16.86584736,9,1,0,0,1
"10",20,7,1,1,"Pitcher X","Right",576397,"Right","Windup",2,1,0,0,0,"Fastball","Sinker","InPlay","","FlyBall","HomeRun",0,1,NA,84.70985639,-1.662680754,-4.733518627,2009.991405,236.9373123,"0.083333333",5.926464385,1.829905115,5.067028824,-25.13102274,15.66663563,24.12574147,2.258919028,-0.632307272,76.30523478,-6.336054372,-0.238827524,0.459715489,102.9688013,21.11559546,-13.86658646,1370.345776,106.0401259,38.0866635,-29.24768428,385.1500481,364.8380505,-21.41080582,3.950765991,-14.18360775,8.762658124,-1.398611557,50,5.748969276,9.309528439,-122.5626024,-4.443955586,-21.2840494,27.26789142,-19.02472494,10,0,0,1,0
