Year,Rank,Team,Payroll,Avg Salary,Median,teamID,franchID,uniqueID
1998,12,Anaheim,48389000,1466333,,ANA,ANA,1998ANA
1998,21,Arizona,31614500,1090155,,ARI,ARI,1998ARI
1998,4,Atlanta,61708000,1990516,,ATL,ATL,1998ATL
1998,1,Baltimore,71860921,2566481,,BAL,BAL,1998BAL
1998,7,Boston,59497000,1652694,,BOS,BOS,1998BOS
1998,18,Chicago White Sox,35180000,1407200,,CHA,CHW,1998CHA
1998,10,Chicago Cubs,49816000,1717793,,CHN,CHC,1998CHN
1998,26,Cincinnati,20707333,714046,,CIN,CIN,1998CIN
1998,6,Cleveland,59543165,1860724,,CLE,CLE,1998CLE
1998,14,Colorado,47714648,1704095,,COL,COL,1998COL
1998,27,Detroit,19237500,712500,,DET,DET,1998DET
1998,28,Florida,15141000,458818,,FLO,FLA,1998FLO
1998,13,Houston,48304000,1558194,,HOU,HOU,1998HOU
1998,17,Kansas City,35610000,1047353,,KCA,KCR,1998KCA
1998,3,Los Angeles,62806667,1903232,,LAN,LAD,1998LAN
1998,20,Milwaukee,31897903,996809,,MIL,MIL,1998MIL
1998,24,Minnesota,24527500,943365,,MIN,MIN,1998MIN
1998,30,Montreal,8317000,297054,,MON,WSN,1998MON
1998,2,N.Y. Yankees,65663698,2188790,,NYA,NYY,1998NYA
1998,8,N.Y. Mets,58660665,1955356,,NYN,NYM,1998NYN
1998,25,Oakland,22463500,774603,,OAK,OAK,1998OAK
1998,22,Philadelphia,28622500,954083,,PHI,PHI,1998PHI
1998,29,Pittsburgh,13695000,458500,,PIT,PIT,1998PIT
1998,9,San Diego,53066166,1894863,,SDN,SDP,1998SDN
1998,16,Seattle,43698136,1506832,,SEA,SEA,1998SEA
1998,11,San Francisco,48514715,1732668,,SFN,SFG,1998SFN
1998,15,St. Louis,44090854,1674673,,SLN,STL,1998SLN
1998,23,Tampa Bay,27370000,829394,,TBA,TBD,1998TBA
1998,5,Texas,60519595,2086883,,TEX,TEX,1998TEX
1998,19,Toronto,34158500,1313788,,TOR,TOR,1998TOR
1999,13,Anaheim,49868167,1511157,,ANA,ANA,1999ANA
1999,9,Arizona,70496000,2203000,,ARI,ARI,1999ARI
1999,3,Atlanta,74890000,2415806,,ATL,ATL,1999ATL
1999,5,Baltimore,72198363,2489599,,BAL,BAL,1999BAL
1999,6,Boston,71725000,2173485,,BOS,BOS,1999BOS
1999,24,White Sox,24535000,908704,,CHA,CHW,1999CHA
1999,10,Cubs,55443500,1911845,,CHN,CHC,1999CHN
1999,20,Cincinnati,42142761,1404759,,CIN,CIN,1999CIN
1999,4,Cleveland,73278458,2093670,,CLE,CLE,1999CLE
1999,11,Colorado,54442505,1944375,,COL,COL,1999COL
1999,22,Detroit,34959667,1165322,,DET,DET,1999DET
1999,30,Florida,15150000,561111,,FLO,FLA,1999FLO
1999,12,Houston,54339000,1698094,,HOU,HOU,1999HOU
1999,27,Kansas City,16557000,534097,,KCA,KCR,1999KCA
1999,8,Los Angeles,71115786,2370526,,LAN,LAD,1999LAN
1999,19,Milwaukee,42927395,1341481,,MIL,MIL,1999MIL
1999,29,Minnesota,16345000,653800,,MIN,MIN,1999MIN
1999,28,Montreal,16413000,529452,,MON,WSN,1999MON
1999,1,Yankees,881807120,3149311,,NYA,NYY,1999NYA
1999,7,Mets,71506427,23370526,,NYN,NYM,1999NYN
1999,25,Oakland,24175333,805844,,OAK,OAK,1999OAK
1999,23,Philadelphia,30568167,955255,,PHI,PHI,1999PHI
1999,26,Pittsburgh,24167667,690505,,PIT,PIT,1999PIT
1999,17,San Diego,45832180,1636864,,SDN,SDP,1999SDN
1999,18,Seattle,44396336,1432140,,SEA,SEA,1999SEA
1999,16,San Francisco,45959557,1641413,,SFN,SFG,1999SFN
1999,15,St. Louis,46173195,1442912,,SLN,STL,1999SLN
1999,21,Tampa Bay,38027500,1118456,,TBA,TBD,1999TBA
1999,2,Texas,81576598,2812986,,TEX,TEX,1999TEX
1999,14,Toronto,48455333,1563075,,TOR,TOR,1999TOR
2000,18,Anaheim,51464167,1715472,,ANA,ANA,2000ANA
2000,5,Arizona,81027833,2893851,,ARI,ARI,2000ARI
2000,3,Atlanta,84537836,2817928,,ATL,ATL,2000ATL
2000,4,Baltimore,81447435,2808532,,BAL,BAL,2000BAL
2000,7,Boston,77940333,2598011,,BOS,BOS,2000BOS
2000,26,Chicago White Sox,31133500,1073569,,CHA,CHW,2000CHA
2000,13,Chicago Cubs,60539333,2017978,,CHN,CHC,2000CHN
2000,21,Cincinnati,46867200,1735822,,CIN,CIN,2000CIN
2000,8,Cleveland,75880871,2918495,,CLE,CLE,2000CLE
2000,12,Colorado,61111190,2182543,,COL,COL,2000COL
2000,15,Detroit,58265167,2157969,,DET,DET,2000DET
2000,29,Florida,20072000,692138,,FLO,FLA,2000FLO
2000,19,Houston,51289111,1899597,,HOU,HOU,2000HOU
2000,28,Kansas City,23433000,836893,,KCA,KCR,2000KCA
2000,2,Los Angeles,88124286,3263862,,LAN,LAD,2000LAN
2000,23,Milwaukee,36505333,1140792,,MIL,MIL,2000MIL
2000,30,Minnesota,16519500,635365,,MIN,MIN,2000MIN
2000,24,Montreal,34807833,1200270,,MON,WSN,2000MON
2000,1,NY Yankees,92538260,3190974,,NYA,NYY,2000NYA
2000,6,NY Mets,79509776,3180391,,NYN,NYM,2000NYN
2000,25,Oakland,31971333,1184123,,OAK,OAK,2000OAK
2000,20,Philadelphia,47308000,1631310,,PHI,PHI,2000PHI
2000,27,Pittsburgh,28928333,1112628,,PIT,PIT,2000PIT
2000,16,San Diego,54821000,1827367,,SDN,SDP,2000SDN
2000,14,Seattle,58915000,2265962,,SEA,SEA,2000SEA
2000,17,San Francisco,53737826,2066839,,SFN,SFG,2000SFN
2000,11,St. Louis,61453863,2276069,,SLN,STL,2000SLN
2000,10,Tampa Bay,62765129,2024682,,TBA,TBD,2000TBA
2000,9,Texas,70795921,2722920,,TEX,TEX,2000TEX
2000,22,Toronto,46238333,1778397,,TOR,TOR,2000TOR
2001,21,Anaheim,46568180,1502199,,ANA,ANA,2001ANA
2001,8,Arizona,81206513,2900233,,ARI,ARI,2001ARI
2001,6,Atlanta,91851687,2962958,,ATL,ATL,2001ATL
2001,12,Baltimore,72426328,2497460,,BAL,BAL,2001BAL
