Word,FREQ
the,253
to,240
and,209
we,172
that,169
i,161
of,135
a,123
have,123
in,106
it,88
you,86
are,67
he,67
not,62
be,59
is,59
do,57
for,46
would,44
our,43
so,43
they,42
what,42
but,41
think,39
was,39
with,39
this,37
about,36
well,36
at,34
on,34
has,33
people,33
can,30
donald,30
know,28
will,28
as,27
going,27
there,26
because,24
one,24
who,24
need,23
them,23
your,23
more,22
us,22
when,22
really,20
want,20
their,19
from,18
his,18
lot,18
said,18
by,17
good,17
if,17
jobs,17
out,17
country,16
get,16
just,16
make,16
should,16
tax,16
an,15
business,15
got,15
some,15
work,15
how,14
new,14
were,14
all,13
also,13
american,13
economy,13
go,13
let,13
up,13
very,13
been,12
had,12
did,11
many,11
my,11
no,11
nuclear,11
police,11
actually,10
am,10
communities,10
debt,10
down,10
fact,10
important,10
into,10
kind,10
look,10
million,10
now,10
put,10
see,10
too,10
again,9
deal,9
information,9
iran,9
middle,9
or,9
other,9
say,9
back,8
ever,8
first,8
isis,8
over,8
plan,8
president,8
support,8
talk,8
then,8
things,8
those,8
wealthy,8
working,8
world,8
years,8
5,7
called,7
class,7
even,7
him,7
home,7
justice,7
lester,7
me,7
much,7
only,7
paid,7
pay,7
proposed,7
something,7
state,7
states,7
system,7
time,7
together,7
trade,7
where,7
which,7
why,7
young,7
able,6
after,6
against,6
any,6
better,6
different,6
everyone,6
everything,6
government,6
gun,6
having,6
made,6
man,6
money,6
national,6
nations,6
part,6
percent,6
problems,6
right,6
sure,6
take,6
taken,6
thing,6
top,6
trying,6
two,6
weapons,6
worked,6
america,5
being,5
believe,5
both,5
cannot,5
come,5
criminal,5
cyber,5
does,5
done,5
fair,5
federal,5
future,5
give,5
heard,5
here,5
hope,5
incomes,5
iraq,5
kinds,5
law,5
long,5
looked,5
maybe,5
never,5
number,5
obama,5
plans,5
returns,5
these,5
united,5
use,5
add,4
african,4
applause,4
around,4
attacks,4
away,4
benefit,4
best,4
biggest,4
black,4
businesses,4
buy,4
clean,4
clear,4
could,4
create,4
deals,4
debate,4
determines,4
doing,4
energy,4
face,4
facing,4
facts,4
families,4
family,4
finally,4
foreign,4
great,4
growth,4
hack,4
hard,4
help,4
invest,4
issues,4
job,4
laughter,4
like,4
making,4
means,4
men,4
military,4
most,4
nato,4
off,4
provide,4
question,4
real,4
reasons,4
