Word,FREQ
i,297
and,295
the,295
to,258
you,236
it,205
that,197
have,183
a,173
of,171
we,162
are,142
not,131
they,121
in,110
do,89
is,84
but,83
very,71
was,70
our,62
because,58
will,54
be,53
country,53
with,53
what,49
this,48
going,47
so,47
on,46
at,45
she,45
look,44
all,43
when,43
for,42
just,39
me,39
them,39
been,38
think,38
said,37
people,36
about,34
say,32
am,31
did,30
know,30
no,30
should,30
would,30
as,29
doing,29
many,28
get,27
out,27
secretary,27
by,26
cannot,25
one,25
want,24
were,24
years,24
from,23
now,23
clinton,22
if,22
like,22
well,22
go,21
he,21
her,21
there,21
these,21
thing,21
things,21
companies,20
good,20
much,20
other,20
way,20
your,20
jobs,19
my,19
or,19
really,19
some,19
their,19
new,18
over,18
money,17
tell,17
where,17
bad,16
could,16
great,16
has,16
against,15
back,15
believe,15
bring,15
does,15
into,15
leaving,15
lot,15
tax,15
up,15
us,15
agree,14
deal,14
ever,14
got,14
isis,14
more,14
time,14
which,14
world,14
an,13
need,13
right,13
stop,13
take,13
war,13
wrong,13
better,12
countries,12
even,12
had,12
lester,12
let,12
obama,12
than,12
trillion,12
almost,11
done,11
how,11
president,11
see,11
tremendous,11
also,10
community,10
first,10
nato,10
politicians,10
taken,10
whether,10
who,10
why,10
can,9
chicago,9
china,9
down,9
him,9
job,9
maybe,9
never,9
order,9
trade,9
before,8
big,8
campaign,8
come,8
company,8
day,8
deals,8
fact,8
far,8
happened,8
hillary,8
iran,8
mean,8
nobody,8
nuclear,8
russia,8
saying,8
sean,8
taking,8
talking,8
then,8
thousands,8
0,7
20,7
30,7
able,7
african,7
business,7
defend,7
experience,7
give,7
greatest,7
hannity,7
help,7
last,7
law,7
long,7
losing,7
make,7
middle,7
nafta,7
nothing,7
paying,7
police,7
regulations,7
started,7
under,7
wait,7
work,7
worst,7
another,6
audit,6
cities,6
east,6
endorsed,6
everybody,6
everything,6
frisk,6
happen,6
here,6
important,6
inner,6
korea,6
little,6
mess,6
mexico,6
oil,6
ok,6
only,6
place,6
places,6
political,6
problem,6
release,6
respond,6
seen,6
something,6
spent,6
taxes,6
website,6
10,5
after,5
american,5
anywhere,5
applause,5
approve,5
away,5
biggest,5
billions,5
brought,5
called,5
care,5
certainly,5
cyber,5
debt,5
different,5
disaster,5
dollars,5
fed,5
fight,5
formed,5
four,5
getting,5
guns,5
hundreds,5
income,5
killed,5
land,5
laws,5
list,5
lots,5
made,5
major,5
mayor,5
million,5
murders,5
name,5
nation,5
north,5
number,5
off,5
old,5
percent,5
probably,5
put,5
question,5
relationships,5
returns,5
since,5
single,5
somebody,5
stamina,5
states,5
strongly,5
talks,5
temperament,5
terms,5
terrible,5
times,5
totally,5
TRUE,5
used,5
watch,5
york,5
1,4
2,4
200,4
5,4
500,4
6,4
800,4
actually,4
advantage,4
airports,4
any,4
anybody,4
anything,4
around,4
ask,4
asked,4
audited,4
barack,4
being,4
best,4
billion,4
birth,4
budget,4
cases,4
certificate,4
city,4
communities,4
cut,4
every,4
excuse,4
expand,4
find,4
gave,4
his,4
interest,4
iraq,4
japan,4
kind,4
lawsuit,4
learn,4
left,4
lists,4
love,4
minute,4
needs,4
once,4
perhaps,4
produce,4
proud,4
raise,4
read,4
sent,4
soon,4
strong,4
supposed,4
talk,4
thinking,4
throughout,4
too,4
tough,4
two,4
united,4
wealthy,4
week,4
went,4
year,4
15,3
3,3
4,3
400,3
650,3
admirals,3
ago,3
ahead,3
approved,3
arabia,3
article,3
assets,3
avenue,3
badly,3
banks,3
beautiful,3
bit,3
blumenthal,3
build,3
call,3
came,3
certain,3
coming,3
concerned,3
control,3
cost,3
course,3
created,3
credit,3
defective,3
defending,3
dnc,3
during,3
e,3
economy,3
end,3
energy,3
estate,3
family,3
father,3
fault,3
feel,3
fifth,3
fine,3
fly,3
frankly,3
happy,3
hard,3
having,3
history,3
impact,3
internet,3
interview,3
keeping,3
large,3
life,3
looks,3
mails,3
mainstream,3
manager,3
met,3
millions,3
mine,3
most,3
myself,3
nice,3
numbers,3
oh,3
ohio,3
opening,3
own,3
pay,3
pennsylvania,3
person,3
plan,3
plants,3
power,3
protect,3
quickly,3
rates,3
real,3
reason,3
releases,3
report,3
roads,3
same,3
saudi,3
schedule,3
sell,3
shootings,3
shows,3
signed,3
small,3
start,3
story,3
street,3
telling,3
terror,3
thinks,3
today,3
told,3
trump,3
truth,3
trying,3
unbelievable,3
use,3
win,3
winning,3
within,3
wonder,3
words,3
worth,3
yeah,3
yes,3
16,2
1st,2
33,2
40,2
694,2
ability,2
absolutely,2
accurate,2
addition,2
admission,2
ads,2
again,2
agreement,2
air,2
allow,2
amendment,2
america,2
americans,2
anyone,2
approximately,2
become,2
becoming,2
behind,2
bernie,2
beyond,2
border,2
bridges,2
broke,2
bubble,2
buildings,2
built,2
bureaucratic,2
businesses,2
button,2
buy,2
caring,2
cars,2
cash,2
change,2
check,2
citizens,2
close,2
club,2
cnn,2
comes,2
commercials,2
complaining,2
complete,2
computers,2
create,2
crime,2
debtor,2
decimated,2
defeat,2
disagree,2
disgraceful,2
division,2
doyle,2
either,2
election,2
ended,2
endorsement,2
enemy,2
essentially,2
example,2
extent,2
extremely,2
fair,2
fairness,2
favor,2
federal,2
fighting,2
filed,2
financial,2
five,2
focus,2
form,2
forms,2
forward,2
fought,2
friend,2
gangs,2
generals,2
given,2
giving,2
goes,2
gold,2
golf,2
guilt,2
hacks,2
happening,2
hear,2
heard,2
honest,2
ice,2
idea,2
illegal,2
incentives,2
including,2
increase,2
incredible,2
instead,2
interests,2
involved,2
2-Jan,
judge,2
knows,2
later,2
lawyer,2
lead,2
leadership,2
league,2
learned,2
leave,2
lightly,2
looked,2
lose,2
lost,2
luck,2
makes,2
mcclatchy,2
media,2
michigan,2
might,2
mind,2
mistake,2
nations,2
negotiate,2
negotiating,2
next,2
night,2
notice,2
numerous,2
owe,2
page,2
paid,2
parts,2
past,2
patti,2
pictures,2
powerful,2
pressing,2
problems,2
purposely,2
putting,2
reagan,2
recently,2
record,2
red,2
released,2
