Name,Year,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
A.J. English,2016,74,75,182,82,98.5,5.3,8.75,8.5,29.5,128,35.5,134,NA,12.27,3.28,NA,No
A.J. Price,2009,72.5,74,193,75.75,97,12.4,0,0,26,123,31,128,11,10.99,3.22,NA,52
Aaron Craft,2014,72.75,73.75,192,74,94.5,6.1,7.75,8.5,29,123.5,32,126.5,NA,10.78,3.26,NA,No
Aaron Gordon,2014,79.5,80.75,220,83.75,105,5.1,8.75,10.5,32.5,137.5,39,144,NA,10.81,3.27,NA,4
Aaron Harrison,2015,76.5,78,209,80.25,100.5,6,8.3,10,28.5,129,34.5,135,1,NA,3.27,NA,No
Aaron White,2015,79.75,80.75,220,83.5,106.5,8,8.25,9.25,30,136.5,35,141.5,7,11.62,3.38,NA,49
Adonis Thomas,2013,76.75,77.75,232,85,99,7.5,9.25,9.5,34.5,133.5,40.5,139.5,13,11.66,3.32,NA,No
Adreian Payne,2014,81,81.75,239,88,109,7.6,9.25,9.5,NA,NA,NA,NA,NA,NA,NA,NA,15
Alan Williams,2015,79.25,80.25,261,85.75,106.5,12,8.5,9.5,25.5,132,28.5,135,8,12.07,3.5,NA,No
Alec Brown,2014,84.25,85.25,231,85.5,109,7.7,9.25,8.75,27,136,30,139,NA,12.05,3.48,NA,50
Alec Burks,2011,77,78,193,82,103.5,5.1,9,8.25,29,132.5,36,139.5,5,10.96,3.17,NA,12
Alex Kirk,2014,81.25,82.75,252,87.5,109.5,13.6,9.25,10.5,28.5,138,31.5,141,NA,11.2,3.48,NA,No
Alex Len,2013,NA,NA,NA,87.5,NA,6.4,9,10.75,NA,NA,NA,NA,NA,NA,NA,NA,5
Al-Farouq Aminu,2010,79.25,80.5,216,87.25,108.5,8.2,9.5,9.5,27,135.5,33.5,142,13,11.29,3.3,NA,8
Allen Crabbe,2013,77.25,78.25,197,83.25,103.5,4.7,8.25,8.5,30.5,134,36,139.5,10,10.67,3.32,NA,31
Andre Drummond,2012,81.75,83.75,279,90.25,109.5,7.5,9.5,9.5,31.5,141,33.5,143,10,10.83,3.39,NA,9
Andre Roberson,2013,78.25,79,206,83,104.5,7.1,8.75,9.5,30,134.5,36.5,141,10,11.36,3.34,NA,26
Andrew Goudelock,2011,73.25,74.75,198,76.25,96.5,9.9,8.25,9.25,32.5,129,37,133.5,4,10.33,3.1,NA,46
Andrew Harrison,2015,76.5,77.5,213,81,100,5.9,8.25,9.25,26.5,126.5,33,133,NA,11.16,3.34,NA,44
Andrew Nicholson,2012,80.5,81.5,234,88,107,7.6,10,10.75,28.5,135.5,30.5,137.5,10,11.89,3.67,NA,19
Andy Katz,2014,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,25,NA,NA,14.6,3.7,NA,No
Andy Rautins,2010,76.25,77,192,79,100,6.2,8,9.75,23.5,123.5,30.5,130.5,8,11.27,3.49,NA,38
Anthony Brown,2015,77.25,80.5,211,83.25,104.5,6.1,8.5,9,27.5,132,34.5,139,4,11.06,3.18,NA,34
Anthony Davis,2012,81.25,82.5,222,89.5,108,7.9,9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,1
Archie Goodwin,2013,75.75,77.25,189,81.5,102,4.6,8.5,9,30,132,36,138,1,10.75,3.27,NA,29
Armon Johnson,2010,74,75.25,195,80,99.5,5.6,8.25,9.25,31.5,131,38.5,138,18,11.25,3.19,NA,34
Arnett Moultrie,2012,81.5,82.75,233,86.25,106.5,7.7,9.25,9.25,33.5,140,37.5,144,10,11.32,3.22,NA,27
Artsiom Parakhouski,2010,82.25,83.75,268,85,109.5,6,9,10.5,25.5,135,26.5,136,16,12.07,3.33,NA,36
Austin Daye,2009,81.75,82.75,192,86.75,110,5.5,0,0,25,135,28,138,,12.11,3.55,NA,15
Austin Rivers,2012,75.5,77,203,79.25,96.5,6.2,8.5,10,32.5,129,37.5,134,1,11.54,3.32,NA,10
Avery Bradley,2010,74,75.25,180,79.25,98.5,4,8.25,9.5,31.5,130,37.5,136,2,11.47,3.14,NA,19
B.J. Mullens,2009,83.75,85.25,258,85.5,111,8.5,0,0,28.5,139.5,32.5,143.5,10,11.1,3.45,NA,24
B.J. Young,2013,74.25,75.5,179,80.25,99,4.7,8.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,No
Ben Bentil,2016,79.25,80.25,229,85.5,105,9.7,9.5,10,29,134,33,138,NA,11.16,3.3,NA,No
Ben McLemore,2013,75.5,76.75,189,79.75,100.5,5,8.75,9.5,32.5,133,42,142.5,6,11.87,3.27,NA,7
Bernard James,2012,80.75,82,230,87,108.5,5,9,9.25,30,138.5,32.5,141,6,11.84,3.4,NA,33
Blake Griffin,2009,80.5,82,248,83.25,105,8.2,0,0,32,137,35.5,140.5,22,10.95,3.28,NA,1
Bobby Portis,2015,81.5,82.5,246,86,108.5,8.9,9.5,9.25,25,133.5,31.5,140,5,11.71,3.56,NA,22
Bradley Beal,2012,75.25,76.75,202,80,100,6,8.5,9,33,133,39,139,8,10.95,3.28,NA,3
Branden Dawson,2015,77.5,78.75,230,83,105,5.8,9,8.75,28.5,133.5,34.5,139.5,12,12.37,3.2,NA,56
Brandon Ashley,2015,79.25,80.5,228,87.25,105,8.8,9,9.5,31.5,136.5,35.5,140.5,9,11.3,3.58,NA,No
Brandon Davies,2013,80.5,82.25,242,85.5,108.5,8.6,9,11,26,134.5,31.5,140,7,11.22,3.5,NA,No
Brandon Knight,2011,73.5,75.25,177,78.75,98.5,4.2,8.25,9.5,29,127.5,37.5,136,10,10.74,3.07,NA,8
Brandon Paul,2013,74.75,76,201,82.25,98,5.3,8.5,9.5,33.5,131.5,39.5,137.5,15,11.16,3.37,NA,No
Brice Johnson,2016,81,82.5,209,84.5,106.5,7.5,9,8.25,33.5,140,38,144.5,NA,11.88,3.2,NA,No
Buddy Hield,2016,75.75,77,212,81.25,101,6.1,8.5,9,NA,NA,NA,NA,NA,NA,NA,NA,No
C.J. Fair,2014,78.5,80,218,81.5,104,5.1,9,9,27,131,35,139,NA,11,3.32,NA,No
C.J. Leslie,2013,79.5,80.75,209,86.25,104.5,8,8.75,9,32.5,137,40.5,145,NA,10.19,3.1,NA,No
C.J. Wilcox,2014,75.5,77,201,81.75,100.5,6.5,8.75,9,31,131.5,37.5,138,NA,11.3,3.22,NA,28
Caleb Swanigan,2016,79.5,80.5,247,87.5,107,12.6,9,10.25,26,133,29,136,NA,12.8,NA,NA,No
Cameron Bairstow,2014,80.75,81.75,252,84.75,107,8.7,8.75,9,31,138,33.5,140.5,NA,11.39,3.37,NA,49
Cameron Payne,2015,72.75,73.5,183,79.25,97.5,6.3,8.5,8.25,30,127.5,35.5,133,,10.89,3.28,NA,14
Caris LeVert,2016,77.75,79,191,82,101,7.6,8.5,9.25,NA,NA,NA,NA,NA,NA,NA,NA,No
Carrick Felix,2013,76.75,78.25,203,81.25,103.5,3.3,8.5,9.5,32,135.5,38.5,142,15,11.16,3.25,NA,33
Cat Barber,2016,73.5,74.75,173,77.5,95.5,4.5,8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,No
Chandler Parsons,2011,80.75,81.75,221,81.5,104.5,7,8.25,10,25.5,130,31.5,136,4,11.05,3.29,NA,38
Charles Garcia,2010,80.25,81.25,232,85.75,107.5,7,8.75,9,24.5,132,30.5,138,2,11.65,3.23,NA,47
Charles Jenkins,2011,73.5,75.25,216,79.5,96.5,4.3,8.5,9,29.5,126,34,130.5,16,11.68,3.18,NA,44
Chase Budinger,2009,78.25,79,206,79,101,10,0,0,29.5,130.5,38.5,139.5,10,11.08,3.24,NA,44
Chasson Randle,2015,72.75,73.5,179,79,96.5,4.5,8.5,9.5,33.5,130,39.5,136,6,10.61,3.2,NA,No
Cheick Diallo,2016,79.5,81,219,88.5,107.5,5.6,8.5,9.75,31,138.5,35,142.5,NA,11.24,3.26,NA,No
Chinanu Onuaku,2016,81,82,245,86.75,108.5,8.6,9,8,27.5,136,33.5,142,NA,11.65,3.5,NA,No
Chris McCullough,2015,80.25,81,199,87.25,109,6.2,8.75,8.75,NA,NA,NA,NA,NA,NA,NA,NA,29
Chris Singleton,2011,79.75,81,230,85,103.5,7.4,9.25,10,30.5,134,37.5,141,15,11.33,3.09,NA,18
Chris Walker,2015,80.75,81.25,208,86.75,108,5.1,9,9,30.5,138.5,37,145,6,11.32,3.35,NA,No
Christian Wood,2015,81.25,82.5,216,87.25,111.5,14.7,9.25,10.75,NA,NA,NA,NA,NA,NA,NA,NA,No
CJ McCollum,2013,74.25,75.25,197,78.25,96.5,8.6,8,9.5,32,128.5,38.5,135,13,11.02,3.32,NA,10
Cleanthony Early,2014,78,79.25,209,82.75,101.5,4.5,8.5,9,34,135.5,40,141.5,NA,11.15,3.18,NA,34
Cliff Alexander,2015,79.25,80.5,239,87.5,109.5,5.8,9.5,10.25,NA,NA,NA,NA,NA,NA,NA,NA,No
