Rk,Player,From,To,Tm,Lg,POS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS
175,A.J. Price,2010,2012,IND,NBA,PG,150,3,2228,5.1,13.7,3.1,7.1,2.1,6.6,2.3,3.1,0.7,2.9,3.6,4.9,1.4,0.1,2.3,2.3,14.6,0.375,0.437,0.309,0.45,0.743,0.485,2.2
305,Adonis Thomas,2014,2014,TOT,NBA,SF,6,1,37,5.8,13.6,4.9,8.8,1,4.9,1,1,0,2.9,2.9,2.9,0,0,1,5.8,13.6,0.429,0.556,0.2,0.464,1,0.485,0
101,Alec Burks,2012,2014,UTA,NBA,SG,201,12,4269,5.9,13.3,5,10.9,0.8,2.4,4,5.4,1.3,3.2,4.5,3,1.1,0.3,2.3,3.3,16.6,0.442,0.461,0.35,0.473,0.736,0.528,5.7
119,Alex Len,2014,2016,PHO,NBA,C,189,93,3701,4.6,10.3,4.6,10.2,0,0.1,2.6,3.6,3.5,7.7,11.2,1.3,0.7,1.8,2.4,5,11.9,0.451,0.454,0.2,0.452,0.714,0.501,4.9
152,Alexey Shved,2013,2015,TOT,NBA,#N/A,182,25,3271,4.9,13.3,3.1,7.5,1.8,5.8,3.3,4.3,0.9,3,3.9,5.1,1.2,0.5,2.7,2.2,14.8,0.369,0.417,0.306,0.436,0.762,0.489,3.1
111,Al-Farouq Aminu,2011,2013,TOT,NBA,SF,223,106,4995,3.9,9,3.4,7.5,0.4,1.5,2,2.7,2.2,6.1,8.4,1.7,1.5,0.8,2.2,3,10.2,0.43,0.457,0.297,0.455,0.754,0.501,5.2
105,Allen Crabbe,2014,2016,POR,NBA,SG,147,17,2888,4.8,10.8,3,6,1.8,4.8,1.4,1.7,0.4,3.3,3.7,1.8,1,0.4,1,3.4,12.9,0.447,0.496,0.385,0.532,0.85,0.56,5.6
137,Alonzo Gee,2010,2012,TOT,NBA,#N/A,130,67,3127,4.3,10.1,3.5,7.8,0.8,2.3,3,3.8,2,4.1,6.2,1.8,1.5,0.4,2.1,2.9,12.4,0.43,0.455,0.345,0.469,0.772,0.528,3.9
4,Andre Drummond,2013,2015,DET,NBA,C,223,173,6364,6.7,11.7,6.7,11.7,0,0,1.9,4.8,5.9,9,14.9,0.7,1.3,2.1,1.6,4,15.3,0.57,0.571,0.167,0.57,0.397,0.552,22
86,Andre Roberson,2014,2016,OKC,NBA,SG,177,151,3238,2.9,6,2.3,3.8,0.6,2.2,0.7,1.2,1.9,4.7,6.7,1.5,1.4,0.9,1.1,3.9,7.1,0.481,0.602,0.274,0.531,0.563,0.54,6.4
288,Andrew Goudelock,2012,2016,TOT,NBA,SG,49,0,475,5.8,14.9,3.6,8.5,2.2,6.4,1.1,1.2,0.5,2,2.6,1.8,0.8,0.2,2.1,2.7,14.9,0.393,0.429,0.345,0.467,0.875,0.485,0
170,Andrew Nicholson,2013,2015,ORL,NBA,PF,191,36,2915,6.4,13.5,5.9,11.9,0.5,1.6,1.7,2.2,1.7,5.6,7.3,1.1,0.6,0.8,1.9,4.1,15,0.474,0.495,0.315,0.492,0.778,0.518,2.4
336,Andy Rautins,2011,2011,NYK,NBA,SG,5,0,24,4.5,10.5,3,4.5,1.5,6,1.5,3,0,1.5,1.5,4.5,1.5,0,10.5,0,12,0.429,0.667,0.25,0.5,0.5,0.508,-0.2
278,Anthony Bennett,2014,2016,TOT,NBA,#N/A,128,3,1641,4.7,12,4.2,10.1,0.5,2,2.1,3.1,2.3,6.3,8.6,1.4,1.2,0.5,1.9,4.1,11.9,0.388,0.414,0.256,0.409,0.657,0.444,0
1,Anthony Davis,2013,2015,TOT,NBA,PF,199,194,6659,8.2,15.6,8.2,15.4,0,0.1,4.8,6.1,2.9,7.3,10.2,1.7,1.4,2.7,1.6,2.7,21.2,0.525,0.529,0.111,0.526,0.789,0.58,30.5
276,Antonio Anderson,2010,2010,OKC,NBA,#N/A,1,0,15,2.4,7.2,2.4,7.2,0,0,0,0,2.4,0,2.4,0,0,0,2.4,2.4,4.8,0.333,0.333,,0.333,,0.333,0
236,Archie Goodwin,2014,2016,PHO,NBA,SG,150,15,2182,5.5,13,4.8,10.1,0.7,2.9,3.8,5.5,1.3,3.7,5,3,1.1,0.5,3.2,3,15.3,0.419,0.474,0.227,0.444,0.689,0.497,0.4
247,Arinze Onuaku,2014,2015,TOT,NBA,#N/A,11,1,98,4.8,7,4.8,7,0,0,1.5,3.7,3.3,7.3,10.7,2.6,0.4,1.1,1.1,3.3,11,0.684,0.684,,0.684,0.4,0.641,0.3
317,Armon Johnson,2011,2012,TOT,NBA,PG,47,0,401,5.9,12.9,5.4,11.6,0.5,1.3,1.7,2.5,1.1,3.3,4.4,5,0.9,0.1,4,3.6,14.1,0.458,0.465,0.4,0.479,0.679,0.502,-0.1
192,Arnett Moultrie,2013,2014,PHI,NBA,PF,59,2,729,4.6,8.5,4.6,8.5,0,0,1.1,1.6,4.3,4.6,8.9,0.6,1.2,0.7,1.3,3.2,10.4,0.547,0.547,,0.547,0.667,0.563,1.7
122,Aron Baynes,2013,2015,SAS,NBA,#N/A,139,21,1754,5.6,10.8,5.6,10.7,0,0.1,2.4,2.8,3.7,6.5,10.2,1.5,0.4,0.7,2.3,5.4,13.6,0.521,0.524,0.2,0.522,0.847,0.567,4.6
158,Austin Daye,2010,2012,DET,NBA,SF,182,24,2964,4.9,12.1,3.5,8.1,1.3,4,2,2.5,1.4,5.2,6.5,1.8,1,1,1.8,4.1,13.1,0.406,0.44,0.337,0.462,0.787,0.498,2.8
216,Austin Rivers,2013,2015,TOT,NBA,SG,206,35,4320,4.5,11.3,3.6,8.7,0.9,2.6,2.1,3.4,0.6,2.7,3.2,3.7,1,0.3,1.8,3.3,12,0.397,0.419,0.326,0.435,0.624,0.467,1
171,Avery Bradley,2011,2013,BOS,NBA,PG,145,78,2965,5,11.5,4.3,9.3,0.8,2.2,1.3,1.7,0.8,2.1,3,2.5,1.4,0.4,2,3.1,12.1,0.438,0.463,0.335,0.471,0.755,0.494,2.3
253,Ben Hansbrough,2013,2013,IND,NBA,#N/A,28,0,200,2.7,8.1,1.6,4,1.1,4.1,3.8,4.9,0.4,2.9,3.2,3.8,1.3,0.4,3.2,4.1,10.3,0.333,0.409,0.261,0.4,0.778,0.501,0.2
